Number,Model Name,1st,2nd,3rd,4th,5th,Mean,SD
No.1,ChatGPT 4o,49,49,43,47,47,47,2.19
No.2,ChatGPT o3,56,54,52,53,53,53.6,1.36
No.3,Claude 3.7,38,44,41,38,44,41,2.68
No.4,Gemini 2.0,40,45,44,45,49,44.6,2.87
No.5,Llama 3.2 1B,0,0,13,0,0,2.6,5.2
No.6,Llama 3.2 1B Instruct,2,5,0,0,2,1.8,1.83
No.7,Llama 3.2 3B,10,11,6,0,0,5.4,4.72
No.8,Llama 3.2 3B Instruct,29,33,25,32,20,27.8,4.79
No.9,Phi 1,0,0,0,0,0,0,0
No.10,Phi 3,28,28,28,28,28,28,0
No.11,Phi 3 quantized,19,19,19,19,19,19,0
No.12,Tiny Llama v0.2,10,10,10,10,10,10,0
No.13,Tiny Llama v1.0,10,10,10,10,10,10,0